License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
94100,The Henri,11870 Grand Park Ave,Rockville,20852,,-77.117362861,39.050374686,,,3,0,272,,,,,,,compliant,"(39.0504, -77.1174)"
17199,Holly Hall,10100 New Hampshire Ave,Silver Spring,20903,154221,-76.976749768,39.020466752,05/14/2019,,3,1,96,24,0.62,0.77,15,0.04,0.00,compliant,"(39.0205, -76.9767)"
17372,Village Square Wheaton,12011 Veirs Mill Rd,Silver Spring,20906,152882,-77.075945762,39.053711517,03/19/2019,,2,1,162,40,1.80,1.82,7,0.05,0.00,at-risk,"(39.0537, -77.0759)"
116079,Valor Apartments,3411 Gateshead Manor Way,Silver Spring,20904,,-76.936296996,39.078503895,,,3,0,261,,,,,,,TBD,"(39.0785, -76.9363)"
112829,"STEWART LANE, 11550",11550 Stewart Ln,Silver Spring,20904,,0,0,,,1,0,591,,,,,,,TBD,"(0.0, 0.0)"
115234,"Silver Spring Avenue, 626",626 Silver Spring Ave,Silver Spring,20910,,-77.01510414,38.991737558,,,2,0,4,,,,,,,TBD,"(38.9917, -77.0151)"
17605,"Bonifant Street, 943",943 Bonifant St,Silver Spring,20910,143628,-77.025600134,38.993998198,09/22/2017,,1,0,3,3,3.66,1.09,1,0.00,0.33,troubled,"(38.994, -77.0256)"
98966,The Montgomery,6425 Rock Forest Dr,Bethesda,20817,149292,-77.128086429,39.029888536,10/04/2018,,3,1,386,94,0.35,0.80,60,0.00,0.01,compliant,"(39.0299, -77.1281)"
115586,MHP Hillbrooke Towers LLC,515 Thayer Ave,Silver Spring,20910,,-77.013472034,38.993961775,,,2,0,55,,,,,,,TBD,"(38.994, -77.0135)"
17002,"Nolte Avenue, 8212",8212 Nolte Ave,Silver Spring,20910,154222,-77.013538749,38.993231418,04/17/2019,,2,1,2,3,1.00,2.33,0,0.00,0.00,at-risk,"(38.9932, -77.0135)"
17169,Battery Lane Apartments,4887 Battery Ln,Bethesda,20814,147561,-77.09888586,38.992572704,06/21/2018,,2,1,86,22,1.18,1.78,6,0.00,0.04,at-risk,"(38.9926, -77.0989)"
17349,"Quebec Terrace, 1033-1045",1033 Quebec Ter,Silver Spring,20903,137996,-76.986410551,39.000408686,12/06/2016,,1,0,28,28,6.64,1.85,0,0.21,0.28,troubled,"(39.0004, -76.9864)"
17280,Sligo Terrace Apartments,8800 Manchester Rd,Silver Spring,20901,154279,-77.010260672,39.000365097,04/12/2019,,2,1,54,54,2.09,1.27,11,0.07,0.01,at-risk,"(39.0004, -77.0103)"
96500,Towne Crest Apartments,17500 Towne Crest Dr,Gaithersburg,20877,154272,-77.174527437,39.145738883,04/17/2019,,3,1,107,25,0.16,0.24,21,0.00,0.00,compliant,"(39.1457, -77.1745)"
88140,Mallory Square,15251 Siesta Key Way,Rockville,20850,154461,-77.194324996,39.105733819,05/01/2019,,3,1,365,82,0.36,0.38,65,0.00,0.00,compliant,"(39.1057, -77.1943)"
28784,"Grand, The",5801 Nicholson Ln,Rockville,20852,154496,-77.113917941,39.045523342,05/08/2019,,3,1,552,133,0.58,0.69,89,0.00,0.00,compliant,"(39.0455, -77.1139)"
116707,The Morgan,12000 Chase Crossing Cir,Rockville,20852,,-77.120214013,39.054566571,,,2,0,127,,,,,,,TBD,"(39.0546, -77.1202)"
112803,Knights Bridge I Apartments,3310 Teagarden Cir,Silver Spring,20904,,-76.944495375,39.081648153,,,3,0,254,,,,,,,TBD,"(39.0816, -76.9445)"
112955,Solaire 8250,8250 Georgia Ave,Silver Spring,20904,,-76.944495375,39.081648153,,,3,0,338,,,,,,,TBD,"(39.0816, -76.9445)"
91606,Heritage at Waters Landing,20700 Crystal Hill Cir,Germantown,20874,,-77.276408808,39.198025104,,,2,0,300,,,,,,,TBD,"(39.198, -77.2764)"
82909,Solaire Wheaton,10914 Georgia Ave,Silver Spring,20902,154214,-77.050201943,39.035227779,04/16/2019,,3,1,232,53,0.20,0.44,43,0.00,0.00,compliant,"(39.0352, -77.0502)"
112415,Manor at Cloppers Mill,18003 Mateny Rd,Germantown,20874,,-77.271195721,39.146815378,,,3,0,102,,,,,,,TBD,"(39.1468, -77.2712)"
18135,"White Ground Road, 17700",17700 White Ground Rd,Boyds,20841,145357,-77.347513934,39.151358433,12/26/2017,,1,0,2,2,4.00,2.12,0,0.00,0.00,troubled,"(39.1514, -77.3475)"
17470,"Flower Avenue, 8605 & 8607",8605 Flower Ave,Takoma Park,20912,138936,-77.002881702,38.996867473,03/15/2017,,1,0,6,7,14.85,1.70,0,0.00,0.42,troubled,"(38.9969, -77.0029)"
17313,"Flower Avenue, 8207",8207 Flower Ave,Takoma Park,20912,139547,-77.001759118,38.991735803,03/22/2017,,2,0,5,5,0.80,1.60,1,0.00,0.00,at-risk,"(38.9917, -77.0018)"
17362,Park Montgomery,8860 Piney Branch Rd,Silver Spring,20903,154212,-76.991674587,39.000480552,05/15/2019,,2,1,143,36,2.19,1.39,10,0.02,0.02,at-risk,"(39.0005, -76.9917)"
17363,Pembridge Square,2315 Blueridge Ave,Silver Spring,20902,154045,-77.048284471,39.043349248,04/02/2019,,2,1,133,129,2.20,1.44,29,0.09,0.00,at-risk,"(39.0433, -77.0483)"
17423,Amherst Square,11500 Amherst Ave,Silver Spring,20902,152883,-77.047918835,39.043406868,04/02/2019,,1,1,125,123,3.56,1.57,12,0.13,0.01,troubled,"(39.0434, -77.0479)"
17687,Browning Avenue Apartments,906 Browning Ave,Takoma Park,20912,153874,-77.000879599,38.996208529,04/08/2019,,1,1,16,16,2.18,1.75,2,0.12,0.00,troubled,"(38.9962, -77.0009)"
17719,"Domer Avenue, 310",310 Domer Ave,Takoma Park,20912,139537,-77.00238556,38.996864767,03/17/2017,,1,1,6,6,3.16,1.53,1,0.16,0.33,troubled,"(38.9969, -77.0024)"
50131,"Flower Avenue, 8407",8407 Flower Ave,Takoma Park,20912,139548,-77.00195621,38.994544659,03/21/2017,,2,0,1,1,2.00,2.50,0,0.00,0.00,at-risk,"(38.9945, -77.002)"
